timeindex,recessionindicator,unemploymentrate,effectivefederalfunds,spotoilbarrelprice,consumersentimentindex,housingbuildingpermits,RealGDPBillions2012Chained
1970Q4,0,5.833333333,5.56826087,3.393333333,72.4,2281,4938.857
1971Q1,0,5.933333333,3.862777778,3.56,78.1,2416,5072.996
1971Q2,0,5.9,4.567252747,3.56,80.2,2727,5100.447
1971Q3,0,6.033333333,5.475543478,3.56,82.1,2778,5142.422
1971Q4,0,5.933333333,4.747608696,3.56,82,2881,5154.547
1972Q1,0,5.766666667,3.549010989,3.56,92.8,3107,5249.337
1972Q2,0,5.7,4.301428571,3.56,88.6,2987,5368.485
1972Q3,0,5.566666667,4.741413043,3.56,95.2,3151,5419.184
1972Q4,0,5.366666667,5.145543478,3.56,90.7,3217,5509.926
1973Q1,0,4.933333333,6.538222222,3.56,81.9,3174,5646.286
1973Q2,0,4.933333333,7.818461538,3.56,77,2827,5707.755
1973Q3,0,4.8,10.55771739,4.06,72,2534,5677.738
1975Q2,0,8.866666667,5.418461538,11.16,72.8,1944,5591.382
1975Q3,0,8.466666667,6.155869565,11.16,75.7,2186,5687.087
1975Q4,0,8.3,5.411195652,11.16,75.6,2401,5763.665
1976Q1,0,7.733333333,4.826483516,11.76333333,84.6,2558,5893.276
1976Q2,0,7.566666667,5.195384615,12.17,83.3,2508,5936.515
1976Q3,0,7.733333333,5.283478261,12.74666667,89.7,2672,5969.089
1976Q4,0,7.766666667,4.87423913,13.9,87,3024,6012.356
1977Q1,0,7.5,4.660666667,13.9,87.1,3227,6083.391
1977Q2,0,7.133333333,5.157472527,13.9,90.2,3317,6201.659
1977Q3,0,6.9,5.816413043,14.53333333,89,3418,6313.559
1977Q4,0,6.666666667,6.511304348,14.85,84.4,3496,6313.697
1978Q1,0,6.333333333,6.759555556,14.85,82.26666667,3458,6333.848
1978Q2,0,6,7.282637363,14.85,81.5,3711,6578.605
1978Q3,0,6.033333333,8.094782609,14.85,80.4,3409,6644.754
1978Q4,0,5.9,9.577826087,14.85,73.46666667,3605,6734.069
1979Q1,0,5.866666667,10.07322222,15.51666667,71.46666667,3033,6746.176
1979Q2,0,5.7,10.18197802,17.68333333,66.63333333,3170,6753.389
1979Q3,0,5.866666667,10.9401087,25.58333333,63.86666667,2943,6803.558
1979Q4,0,5.966666667,13.58021739,30.83333333,62.13333333,2448,6820.572
1980Q3,0,7.666666667,9.823152174,37.83333333,67.76666667,2499,6693.082
