timeindex,recessionindicator,unemploymentrate,effectivefederalfunds,spotoilbarrelprice,consumersentimentindex,housingbuildingpermits,RealGDPBillions2012Chained
1970Q1,1,4.17,8.559,3.35,78.1,1601,4939.759
1970Q2,1,4.77,7.883,3.35,75.4,1836,4946.77
1970Q3,1,5.17,6.711,3.31,77.6,2034,4992.357
1970Q4,0,5.83,5.568,3.39,72.4,2281,4938.857
1971Q1,0,5.93,3.863,3.56,78.1,2416,5072.996
1971Q2,0,5.9,4.567,3.56,80.2,2727,5100.447
1971Q3,0,6.03,5.476,3.56,82.1,2778,5142.422
1971Q4,0,5.93,4.748,3.56,82,2881,5154.547
1972Q1,0,5.77,3.549,3.56,92.8,3107,5249.337
1972Q2,0,5.7,4.301,3.56,88.6,2987,5368.485
1972Q3,0,5.57,4.741,3.56,95.2,3151,5419.184
1972Q4,0,5.37,5.146,3.56,90.7,3217,5509.926
1973Q1,0,4.93,6.538,3.56,81.9,3174,5646.286
1973Q2,0,4.93,7.818,3.56,77,2827,5707.755
1973Q3,0,4.8,10.558,4.06,72,2534,5677.738
1973Q4,1,4.77,9.997,4.31,76.5,2045,5731.632
1974Q1,1,5.13,9.334,10.11,61.8,2188,5682.353
1974Q2,1,5.2,11.251,10.11,72.1,2038,5695.859
1974Q3,1,5.63,12.099,10.11,64.4,1813,5642.025
1974Q4,1,6.6,9.344,11.16,59.5,1638,5620.126
1975Q1,1,8.27,6.305,11.16,57.6,1587,5551.713
1975Q2,0,8.87,5.418,11.16,72.8,1944,5591.382
1975Q3,0,8.47,6.156,11.16,75.7,2186,5687.087
1975Q4,0,8.3,5.411,11.16,75.6,2401,5763.665
1976Q1,0,7.73,4.826,11.76,84.6,2558,5893.276
1976Q2,0,7.57,5.195,12.17,83.3,2508,5936.515
1976Q3,0,7.73,5.283,12.75,89.7,2672,5969.089
1976Q4,0,7.77,4.874,13.9,87,3024,6012.356
1977Q1,0,7.5,4.661,13.9,87.1,3227,6083.391
1977Q2,0,7.13,5.157,13.9,90.2,3317,6201.659
1977Q3,0,6.9,5.816,14.53,89,3418,6313.559
1977Q4,0,6.67,6.511,14.85,84.4,3496,6313.697
1978Q1,0,6.33,6.76,14.85,82.3,3458,6333.848
1978Q2,0,6,7.283,14.85,81.5,3711,6578.605
1978Q3,0,6.03,8.095,14.85,80.4,3409,6644.754
1978Q4,0,5.9,9.578,14.85,73.5,3605,6734.069
1979Q1,0,5.87,10.073,15.52,71.5,3033,6746.176
1979Q2,0,5.7,10.182,17.68,66.6,3170,6753.389
1979Q3,0,5.87,10.94,25.58,63.9,2943,6803.558
1979Q4,0,5.97,13.58,30.83,62.1,2448,6820.572
1980Q1,1,6.3,15.065,35.83,63.5,2095,6842.024
1980Q2,1,7.33,12.669,39.5,54.4,1634,6701.046
1980Q3,0,7.67,9.823,37.83,67.8,2499,6693.082
1980Q4,0,7.4,15.853,36.33,72.1,2388,6817.903
1981Q1,0,7.43,16.596,38,68.3,2085,6951.495
1981Q2,0,7.4,17.787,37.33,73.9,1905,6899.98
1981Q3,1,7.4,17.594,36,74.8,1516,6982.609
1981Q4,1,8.23,13.588,35.33,65.7,1270,6906.529
