Year,Quarter,Decade,Month,Day,Effective Federal Funds Rate,Unemployment Rate,Inflation Rate (CPI-U),Crude Oil Spot Price,Consumer Sentiment Index (100 = 1966Q1),Real GDP (Billions of chained 2012 dollars),Thousands of New Housing Building Permits,Home Price Index (100 = Jan 2000),Nasdaq 100 Index,Recession Indicator (1 = recession),CPI-U Index (1970Q1 = 100)
1970,1,1970,1,1,9.38,3.9,6.2,3.35,78.1,4939.759,1062,,,1,100
1970,1,1970,2,1,8.5,4.2,6.4,3.35,78.1,4939.759,1118,,,1,100.5
1970,1,1970,3,1,7.5,4.4,6.1,3.35,78.1,4939.759,1132,,,1,101.1
1970,2,1970,4,1,8.5,4.6,6.1,3.35,75.4,4946.77,1224,,,1,101.6
1970,2,1970,5,1,7.88,4.8,6,3.35,75.4,4946.77,1328,,,1,101.8
1970,2,1970,6,1,5.75,4.9,6,3.35,75.4,4946.77,1322,,,1,102.4
1970,3,1970,7,1,6.75,5,5.7,3.31,77.6,4992.357,1324,,,1,102.6
1970,3,1970,8,1,6.5,5.1,5.7,3.31,77.6,4992.357,1394,,,1,102.9
1970,3,1970,9,1,5,5.4,5.7,3.31,77.6,4992.357,1426,,,1,103.4
1970,4,1970,10,1,6.13,5.5,5.6,3.31,72.4,4938.857,1564,,,1,104
1970,4,1970,11,1,5.5,5.9,5.6,3.31,72.4,4938.857,1502,,,1,104.5
1970,4,1970,12,1,3,6.1,5.6,3.56,72.4,4938.857,1767,,,1,105
1971,1,1970,1,1,4,5.9,5.3,3.56,78.1,5072.996,1643,,,0,105.3
1971,1,1970,2,1,3.38,5.9,4.7,3.56,78.1,5072.996,1588,,,0,105.3
1971,1,1970,3,1,4.5,6,4.4,3.56,78.1,5072.996,1759,,,0,105.5
1971,2,1970,4,1,4.25,5.9,4.2,3.56,80.2,5100.447,1745,,,0,105.8
1971,2,1970,5,1,4.88,5.9,4.4,3.56,80.2,5100.447,1972,,,0,106.3
1971,2,1970,6,1,4.75,5.9,4.4,3.56,80.2,5100.447,1903,,,0,106.9
1971,3,1970,7,1,5.5,6,4.4,3.56,82.1,5142.422,2069,,,0,107.1
1971,3,1970,8,1,5.75,6.1,4.4,3.56,82.1,5142.422,2004,,,0,107.4
1971,3,1970,9,1,5.38,6,4.1,3.56,82.1,5142.422,1996,,,0,107.7
1971,4,1970,10,1,5.13,5.8,3.8,3.56,82,5154.547,2026,,,0,107.9
1971,4,1970,11,1,4.25,6,3.5,3.56,82,5154.547,2079,,,0,108.2
1971,4,1970,12,1,3,6,3.3,3.56,82,5154.547,2133,,,0,108.4
1972,1,1970,1,1,3.13,5.8,3.3,3.56,92.8,5249.337,2238,,,0,108.7
1972,1,1970,2,1,3.25,5.7,3.8,3.56,92.8,5249.337,2169,,,0,109.2
1972,1,1970,3,1,4,5.8,3.5,3.56,92.8,5249.337,2105,,,0,109.2
1972,2,1970,4,1,4.31,5.7,3.5,3.56,88.6,5368.485,2139,,,0,109.5
1972,2,1970,5,1,4.75,5.7,3.2,3.56,88.6,5368.485,2067,,,0,109.8
1972,2,1970,6,1,4.5,5.7,3,3.56,88.6,5368.485,2183,,,0,110
1972,3,1970,7,1,4.5,5.6,3,3.56,95.2,5419.184,2195,,,0,110.3
1972,3,1970,8,1,5.13,5.6,2.9,3.56,95.2,5419.184,2263,,,0,110.6
1972,3,1970,9,1,4.88,5.5,3.2,3.56,95.2,5419.184,2393,,,0,111.1
1972,4,1970,10,1,4.88,5.6,3.2,3.56,90.7,5509.926,2354,,,0,111.3
1972,4,1970,11,1,5.19,5.3,3.4,3.56,90.7,5509.926,2234,,,0,111.9
1972,4,1970,12,1,5.5,5.2,3.4,3.56,90.7,5509.926,2419,,,0,112.1
1973,1,1970,1,1,6.5,4.9,3.6,3.56,81.9,5646.286,2271,,,0,112.7
1973,1,1970,2,1,7.5,5,3.9,3.56,81.9,5646.286,2226,,,0,113.5
1973,1,1970,3,1,7.38,4.9,4.8,3.56,81.9,5646.286,2062,,,0,114.5
1973,2,1970,4,1,7.63,5,5.3,3.56,77,5707.755,1908,,,0,115.3
1973,2,1970,5,1,8.13,4.9,5.5,3.56,77,5707.755,1931,,,0,115.8
1973,2,1970,6,1,8.88,4.9,6,3.56,77,5707.755,2051,,,0,116.6
1973,3,1970,7,1,11.22,4.8,5.7,3.56,72,5677.738,1819,,,0,116.6
1973,3,1970,8,1,11.22,4.8,7.4,4.31,72,5677.738,1809,,,0,118.7
1973,3,1970,9,1,10.82,4.8,7.4,4.31,72,5677.738,1704,,,0,119.3
1973,4,1970,10,1,10.61,4.6,8.1,4.31,76.5,5731.632,1411,,,0,120.3
1973,4,1970,11,1,10.34,4.8,8.3,4.31,76.5,5731.632,1402,,,0,121.1
1973,4,1970,12,1,9.83,4.9,8.9,4.31,76.5,5731.632,1288,,,0,122.2
